Format, Traqmate Trackvision, V2
Track, VMP
Vehicle, Peter's DSP BMW
Driver, Peter Florance
Starting Date, 06/11/2011
Starting Time, 18:36:59.751
Sample Rate (samps/sec), 20
Duration (secs),    565.750
Analogs, Point Name, Units, Low Value, High Value, AlarmValue
A0 Disabled
A1 Disabled
A2 Disabled
A3 Disabled
Digitals, Point Name, On Name, OffName
D4
D5
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap 
0,67020751,1661,1.050000,37.166154,-77.524145,0.399861,0.015104,164,58.000000,0.000000,0.000000,0.000000,0.099052,90.000000,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67020751,1661,1.100000,37.166154,-77.524145,0.393291,0.017745,164,58.000000,0.000000,0.000000,0.000000,-0.008728,90.000000,0.101724,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67020751,1661,1.150000,37.166154,-77.524145,0.393349,0.017870,164,58.000000,0.000000,0.000000,0.000000,-0.120289,90.000000,0.100000,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67020751,1661,1.200000,37.166154,-77.524145,0.389248,0.025517,164,58.000000,0.000000,0.000000,0.000000,-0.229959,90.000000,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67020751,1661,1.250000,37.166154,-77.524145,0.376554,0.014537,164,58.000000,0.000000,0.000000,0.000000,-0.337739,90.000000,0.100000,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67020751,1661,1.300000,37.166154,-77.524145,0.374805,-0.010117,164,58.000000,0.000000,0.000000,0.000000,-0.447409,90.000000,0.100000,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67020751,1661,1.350000,37.166154,-77.524145,0.386705,-0.040651,164,58.000000,0.000000,0.000000,0.000000,-0.557080,90.000000,0.100000,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67020751,1661,1.400000,37.166154,-77.524145,0.411725,-0.072904,164,58.000000,0.000000,0.000000,0.000000,-0.666750,90.000000,0.100000,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67020751,1661,1.450000,37.166154,-77.524145,0.450032,-0.103249,164,58.000000,0.000000,0.000000,0.000000,-0.776421,90.000000,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
1,67021251,1661,1.500000,37.166155,-77.524145,0.642865,0.000000,164,58.000000,0.000000,0.000000,0.000000,0.333956,83.505352,0.100000,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021251,1661,1.550000,37.166155,-77.524145,0.655255,0.021061,164,58.000000,0.000000,0.000000,0.000000,0.224285,83.505352,0.098276,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021251,1661,1.600000,37.166155,-77.524145,0.660766,0.036476,164,58.000000,0.000000,0.000000,0.000000,0.116506,83.505352,0.098276,0.070470,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021251,1661,1.650000,37.166155,-77.524145,0.655837,0.043263,164,58.000000,0.000000,0.000000,0.000000,0.008726,83.505352,0.101724,0.068792,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
0,67021251,1661,1.700000,37.166155,-77.524145,0.655900,0.043141,164,58.000000,0.000000,0.000000,0.000000,-0.102835,83.505352,0.100000,0.067114,78,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,
